words,808s & Heartbreak,Graduation,JESUS IS KING,Late Registration,My Beautiful Dark Twisted Fantasy,The College Dropout,The Life of Pablo,Yeezus,ye
gaye,0,0,0,0,0,1,0,0,0
gaze,0,0,0,0,0,0,1,0,0
gd,0,0,0,0,1,0,0,0,0
gearing,0,1,0,0,0,0,0,0,0
gee,0,1,0,0,0,1,1,0,0
geico,0,0,0,1,0,1,0,0,0
gem,0,1,0,0,0,0,0,0,0
gemini,0,0,0,0,0,0,1,0,0
generally,0,1,0,0,0,0,0,0,0
generation,0,0,0,0,0,0,2,0,0
genetics,0,0,0,1,0,0,0,0,0
genie,0,0,0,0,0,0,0,0,1
genius,0,1,0,0,0,0,1,0,0
gentle,0,0,0,0,0,0,0,0,1
gentleman,0,0,0,0,1,1,0,0,0
george,0,0,0,2,0,1,0,0,1
gepetto,1,0,0,0,0,0,0,0,0
gesaffelstein,0,0,0,0,0,0,0,1,0
gettin,0,2,0,0,4,3,3,2,1
ggggood,0,0,0,0,0,0,1,0,0
ghana,0,0,0,0,0,1,0,0,0
ghetto,0,0,0,2,1,1,2,0,0
ghost,0,0,0,0,0,2,0,0,0
ghostface,0,0,0,0,0,0,1,0,0
ghoul,0,0,0,0,1,0,0,0,0
giant,0,1,0,0,0,0,0,0,0
gibraltar,0,0,0,1,0,0,0,0,0
gifted,0,0,0,0,2,0,0,0,0
gig,0,1,0,0,0,0,0,0,0
gil,0,0,0,2,2,0,0,0,0
gimme,0,0,0,0,0,2,0,0,0
gina,0,1,0,0,0,0,1,0,0
giorgio,0,0,0,0,1,0,0,0,0
giovanni,0,0,0,1,0,0,0,0,0
girl,3,4,0,9,7,11,4,5,4
girlfriend,0,2,0,1,1,1,0,0,0
giuseppe,0,0,0,0,1,0,1,0,0
giveandgo,0,1,0,0,0,0,0,0,0
givin,0,1,0,0,0,1,0,1,0
glad,0,0,2,0,0,2,0,0,0
gladly,0,0,0,0,0,1,0,0,0
gladys,0,0,0,0,0,1,0,0,0
glass,0,1,0,3,1,3,0,1,1
glc,0,0,0,1,0,3,0,0,0
gleam,0,1,0,1,0,0,0,0,0
gleamin,0,0,0,1,0,0,0,0,0
glist,0,0,0,0,0,1,0,0,0
glitter,0,0,0,0,0,1,0,0,0
globe,0,0,0,0,0,1,0,0,0
glock,0,0,0,1,0,0,0,0,0
glorious,0,1,0,0,0,0,0,0,0
glory,0,1,2,0,0,2,1,0,1
gloss,0,0,0,1,0,0,0,0,0
glove,0,0,0,1,0,0,0,0,1
glowin,0,1,0,1,0,0,0,0,0
glowing,1,0,0,0,0,0,0,0,0
gnac,0,0,0,1,0,0,0,0,0
gnarl,0,1,0,0,0,0,0,0,0
goal,0,1,0,0,0,0,1,0,0
goalie,0,0,0,0,1,0,0,0,0
goatee,0,0,0,0,0,2,0,0,0
goblin,0,0,0,0,1,0,0,0,0
god,2,6,14,3,6,10,8,3,2
goddamn,0,1,0,1,3,1,2,0,0
goddamnit,0,0,0,0,1,0,0,0,0
godgiven,0,0,2,0,0,1,0,0,0
godsister,1,0,0,0,0,0,0,0,0
godzilla,0,0,0,0,1,0,0,0,0
gogetters,0,0,0,0,0,2,0,0,0
goin,1,1,2,2,2,2,2,2,0
gold,0,2,0,3,2,3,0,0,0
goldstein,0,0,0,0,0,0,2,4,0
golf,0,0,0,0,0,1,0,0,0
golly,0,0,0,0,0,1,0,0,0
gon,3,7,4,16,4,11,6,4,5
gonna,1,5,2,4,1,9,4,1,2
good,4,5,2,9,6,8,8,3,2
goodbye,1,2,0,0,0,1,0,0,0
goodnight,0,0,0,0,1,0,0,0,0
goon,1,0,0,0,0,0,0,1,0
goose,0,0,0,0,2,0,0,0,0
gopro,0,0,0,0,0,0,1,0,0
gordon,0,0,0,0,0,1,0,0,0
gosh,0,0,0,0,1,0,1,0,0
gospel,0,1,4,0,1,0,0,0,0
gossip,0,0,0,0,1,0,0,0,0
gossiping,0,0,0,0,0,0,1,0,0
gotham,0,0,0,0,0,0,1,0,0
gots,0,1,0,0,0,0,0,0,0
gotta,2,4,4,6,5,10,3,2,3
government,0,0,0,1,1,0,0,0,0
goyard,0,1,0,0,0,0,0,0,0
grab,1,0,0,1,2,0,0,3,0
grabbed,0,0,0,0,0,1,0,1,0
grabbin,0,0,0,0,1,1,1,0,0
grace,0,0,4,0,0,1,0,0,0
grade,0,1,0,0,0,0,0,0,0
grader,0,0,0,1,0,0,0,0,0
graduate,0,1,0,0,0,0,0,0,0
graduated,0,1,0,0,0,1,0,0,0
graduation,0,1,0,0,0,2,0,0,0
graham,0,0,0,0,0,0,1,0,0
gram,0,0,4,0,0,0,0,0,0
grammy,0,0,0,1,0,3,2,0,0
grammys,0,2,2,1,0,0,1,0,0
gran,0,0,0,1,0,0,0,0,0
grand,0,1,0,0,0,0,0,0,0
grandfather,0,0,0,1,0,1,0,0,0
grandll,0,0,0,0,0,0,0,0,1
grandma,0,0,0,1,0,1,0,0,0
grandmomma,0,1,0,0,0,0,0,0,0
grandmother,0,0,0,0,1,0,0,0,0
grandparent,0,1,0,0,0,0,0,0,0
granny,0,0,0,1,0,1,0,0,0
granted,0,0,0,0,0,1,0,0,0
grape,0,0,0,0,0,0,1,0,0
grass,0,0,0,1,0,0,0,0,0
grassless,0,0,0,1,0,0,0,0,0
grateful,0,0,0,0,1,0,0,0,0
gratitude,1,0,0,0,0,0,0,0,0
gratuity,0,0,0,0,0,0,1,0,0
grave,0,0,0,1,0,0,0,0,0
graveshift,0,0,0,0,0,1,0,0,0
great,0,0,0,0,0,2,2,0,0
greatest,0,0,4,0,2,0,0,0,0
greatness,0,1,0,0,0,0,0,0,0
greed,0,0,0,1,0,0,0,0,0
greedy,0,0,2,0,0,1,0,0,0
greek,0,0,0,0,1,0,0,0,0
green,0,0,2,3,1,1,1,0,0
greene,0,0,0,0,0,0,1,0,0
grew,0,1,2,0,0,0,0,0,0
grey,0,0,0,0,0,0,1,0,0
grill,0,0,0,1,0,0,0,0,0
grillin,0,0,0,0,0,1,0,0,0
grime,0,0,0,0,0,0,1,0,0
grind,2,2,0,2,0,2,0,1,0
grinder,0,0,0,1,0,0,0,0,0
grinding,0,0,0,0,1,0,0,0,0
grip,0,0,0,0,0,1,0,0,0
grippin,0,0,0,0,1,0,0,0,0
grocery,0,0,0,0,0,1,0,0,0
groove,1,0,0,0,0,0,0,0,0
ground,0,0,0,1,0,0,0,0,0
group,0,0,0,0,0,1,1,0,0
groupie,0,0,0,1,0,0,0,0,0
grow,1,0,0,1,1,1,0,0,1
grown,0,0,0,1,1,1,0,0,1
grownass,0,0,0,0,0,1,0,0,0
grutman,0,0,0,0,0,0,0,1,0
gshockin,0,0,0,0,1,0,0,0,0
guarantee,0,0,0,0,0,0,0,0,1
guard,0,0,0,0,0,1,0,0,0
gucci,1,0,0,2,0,1,0,0,0
guerilla,0,0,0,1,0,0,0,0,0
guess,0,7,0,7,6,4,3,0,1
guessin,0,0,0,1,0,0,0,0,0
guest,0,0,0,1,0,0,0,0,0
guidance,0,0,0,0,1,0,0,0,0
guide,1,0,0,0,0,0,1,0,0
guido,0,1,0,0,0,0,0,0,0
gump,0,0,0,1,0,0,0,0,0
gun,0,2,0,2,0,3,0,0,0
gunned,0,0,0,0,0,0,0,0,1
gurl,0,0,0,0,0,1,0,0,0
guru,0,0,0,0,0,1,0,0,0
gut,0,0,0,0,0,0,0,1,0
guy,0,0,0,0,3,6,0,0,1
gwaan,0,0,0,0,0,0,0,1,0
gym,0,0,0,0,0,0,1,0,0
ha,0,2,0,0,0,1,1,0,0
habit,0,0,0,0,0,1,0,0,0
hablo,0,0,0,1,1,0,0,0,0
hah,0,0,0,0,1,0,1,1,1
haha,1,0,0,1,2,1,0,0,0
hahahahaha,0,0,0,0,1,0,0,0,0
hail,0,0,0,0,0,2,0,0,0
hair,0,1,2,1,1,3,0,2,0
haircut,0,0,0,0,0,1,0,0,0
half,0,0,2,2,1,2,2,0,0
halftruths,0,0,0,0,0,0,0,0,1
halfway,0,0,2,0,0,0,0,0,1
hall,0,0,0,0,0,1,0,0,0
halle,0,0,0,0,0,1,0,0,0
hallej,0,0,0,0,0,0,1,0,0
hallelujah,0,0,2,0,0,1,1,0,0
hammer,0,0,0,1,1,1,1,0,0
hammond,0,0,2,0,0,0,0,0,0
hampton,0,0,0,0,0,0,0,1,0
hand,0,2,6,3,4,8,6,1,1
handed,0,1,0,0,0,1,0,0,0
handicam,0,0,0,0,0,1,0,0,0
handle,0,0,0,2,0,0,0,1,0
handyman,0,0,0,0,0,1,0,0,0
hang,0,0,0,0,1,0,0,0,0
hangin,0,0,0,1,0,0,0,2,1
hangover,0,0,0,0,1,0,0,1,0
happen,1,1,0,2,0,1,1,0,1
happened,1,0,0,0,2,1,0,1,1
happenin,0,0,0,1,0,0,0,1,0
happy,0,0,2,0,1,0,1,0,0
har,0,0,0,0,0,0,0,1,0
harass,0,0,0,0,0,1,0,0,0
hard,1,4,6,1,3,5,4,2,1
harden,0,0,0,0,0,0,1,0,0
harder,0,2,0,1,0,0,0,0,0
hardhitter,0,0,0,1,0,0,0,0,0
hardlivin,0,0,0,0,0,1,0,0,0
harebrained,0,1,0,0,0,0,0,0,0
harlem,0,0,0,0,0,1,0,0,0
harm,0,0,0,0,0,0,0,0,1
harmless,0,0,0,1,0,0,0,0,0
harold,0,0,0,0,0,1,0,0,0
harsh,0,0,0,1,0,2,0,0,0
harvesting,0,0,0,0,1,0,0,0,0
harvey,0,0,0,0,0,0,1,0,0
hast,0,1,0,0,0,0,0,0,0
hat,0,2,0,2,1,1,0,0,0
hate,0,4,0,2,3,4,3,1,2
hated,0,0,0,0,1,0,0,0,0
hater,0,5,0,1,3,2,0,0,0
hath,0,0,2,0,0,0,0,0,0
hatin,1,0,0,0,0,0,0,0,0
hatinass,0,0,0,0,0,0,0,1,0
hatred,0,0,0,1,1,0,0,0,0
haunted,1,0,0,0,0,0,0,0,0
havin,0,1,0,1,1,2,1,0,1
havoc,0,1,0,0,0,0,1,0,0
hawke,0,0,0,0,0,0,1,0,0
hayve,0,1,0,0,0,0,0,0,0
hayvocoops,0,1,0,0,0,0,0,0,0
hazard,0,0,0,1,0,0,0,0,0
head,1,3,2,5,5,6,3,1,0
headed,1,0,0,0,2,0,0,0,0
heading,0,0,0,0,1,0,0,0,0
heal,0,0,2,0,0,0,0,0,0
healed,0,0,2,0,0,0,0,0,0
hear,2,5,0,3,4,7,1,2,3
heard,2,2,0,5,3,4,4,1,0
hearin,0,0,2,1,0,0,0,1,0
hearing,0,0,0,0,0,1,0,0,0
heart,1,4,2,4,1,5,1,4,0
heartache,0,0,0,0,0,0,1,0,0
heartbeat,0,0,0,1,0,0,0,0,0
heartbreak,2,0,0,0,0,0,0,0,0
heartless,1,0,0,0,0,0,0,0,0
heat,0,0,0,0,1,2,4,0,0
heated,0,0,0,0,0,1,1,0,0
heatstroke,0,0,0,0,0,0,0,0,1
heaven,0,1,4,2,2,2,0,0,0
heavenll,0,1,0,0,0,0,0,0,0
heavensent,0,0,0,0,0,1,0,0,0
heavy,0,0,0,0,0,2,0,0,0
hecky,0,0,0,0,0,1,0,0,0
heel,0,0,0,0,1,0,0,0,0
heh,0,1,0,0,0,0,1,0,0
hehe,0,0,0,0,0,1,0,0,0
heighten,0,0,0,1,0,0,0,0,0
heiress,0,0,0,0,1,0,0,0,0
held,0,0,0,0,0,0,0,1,0
hell,1,1,2,3,5,4,3,1,0
hella,0,0,0,0,0,1,1,0,0
hellhole,0,0,0,0,1,0,0,0,0
hellified,0,0,0,0,1,0,0,0,0
helped,0,0,0,2,0,1,1,1,0
hennessy,0,2,0,0,0,1,1,0,0
henny,0,0,0,3,0,1,0,0,0
herded,0,0,0,0,0,0,1,0,0
hermes,0,1,0,0,0,0,0,0,0
hero,0,1,0,1,1,0,0,0,2
heroin,0,0,0,1,0,0,0,0,0
heroine,0,0,0,1,0,0,0,0,0
heron,0,0,0,0,2,0,0,0,0
herzog,0,0,0,0,0,0,1,0,0
hey,2,4,0,3,2,5,4,1,0
heyy,0,0,0,0,0,1,0,0,0
hhhhigh,0,0,0,0,0,0,0,1,0
hhighhigh,0,0,0,0,0,0,0,1,0
hhighigh,0,0,0,0,0,0,0,1,0
hiahighighighighhhh,0,0,0,1,0,0,0,0,0
hide,0,0,2,0,2,0,0,0,0
hidin,0,0,0,0,1,0,0,0,0
hiding,0,0,2,0,0,0,0,0,0
high,3,2,6,6,2,5,4,2,3
higher,0,0,0,0,1,2,0,0,0
highest,0,0,0,0,0,2,0,0,0
highhigh,0,0,0,0,0,0,0,1,0
highigh,0,0,0,0,0,0,0,1,0
highighhighhigh,0,0,0,0,0,0,0,1,0
highlight,0,0,0,0,0,0,1,0,0
highly,0,0,0,1,0,0,0,0,0
highness,0,0,0,0,1,0,0,0,0
hill,0,2,0,0,1,0,1,0,0
hillman,0,1,0,0,0,0,0,0,0
hip,0,1,0,0,0,1,0,0,0
hiphop,0,0,0,1,1,2,0,0,0
hired,0,0,0,0,1,0,1,0,0
history,2,0,0,0,1,1,0,0,0
hit,0,8,0,6,4,9,5,3,3
hitter,0,0,0,0,0,1,0,0,0
hittin,0,0,0,0,0,0,1,0,0
hm,0,0,0,0,0,0,0,0,1
hmm,0,0,0,2,0,0,0,1,0
ho,0,0,0,0,2,0,2,0,0
hod,0,0,0,0,0,1,0,0,0
hoe,1,4,0,5,3,3,1,2,0
hofesional,0,0,0,0,0,1,0,0,0
hogben,0,0,0,0,1,0,0,0,0
hohoho,0,0,0,1,0,0,0,0,0
hohohoo,1,0,0,0,0,0,0,0,0
hola,0,1,0,0,0,0,0,0,0
hold,0,1,6,2,2,4,3,3,1
holdin,0,0,0,0,0,2,0,1,0
holding,1,0,0,0,0,0,2,0,0
hole,0,0,0,0,1,0,0,0,0
holiday,0,0,0,0,0,1,0,0,0
holier,0,0,0,0,0,1,0,0,0
holla,0,1,0,1,0,1,0,0,0
holler,0,0,0,0,0,1,0,0,0
hollerin,0,0,0,0,0,1,0,0,0
hollering,0,0,0,0,0,0,1,0,0
hollow,0,0,0,0,1,0,0,0,0
hollywood,0,0,0,0,0,0,3,0,0
holmes,0,0,0,1,0,0,0,0,0
holy,0,0,2,0,1,0,1,0,0
homeboy,0,0,0,1,0,0,0,0,0
homegirl,0,0,0,0,0,0,0,0,1
homeless,0,0,0,0,0,1,0,0,0
homemade,0,0,0,1,0,0,0,0,0
homie,1,6,0,2,2,1,0,2,1
homies,1,1,0,0,1,2,0,0,0
homme,0,0,0,0,1,0,0,0,0
homo,0,1,0,0,0,1,0,0,0
honest,0,0,0,1,0,0,1,0,0
honestly,0,0,0,0,1,0,0,0,0
honesty,0,0,0,0,1,0,0,0,0
honey,0,0,0,0,1,1,0,2,0
honeymoon,0,0,0,0,1,0,0,0,0
honor,0,0,0,0,0,0,1,0,0
honored,0,1,0,0,0,0,0,0,0
hood,1,4,0,4,1,2,1,0,0
hoodrats,0,0,0,0,1,0,0,0,0
hoohoo,1,0,0,0,0,0,0,0,0
hoohoohoo,0,0,0,0,0,0,0,1,0
hook,0,6,0,7,0,1,0,0,0
hooked,0,0,0,2,0,0,0,0,0
hop,0,3,0,0,0,3,0,1,0
hope,0,1,0,1,1,4,2,0,1
hopeless,0,0,0,0,0,0,0,1,0
hopped,1,0,0,1,0,0,0,0,0
horn,0,0,0,1,0,0,0,0,0
hors,0,1,0,0,0,0,0,0,0
horse,0,0,2,1,0,1,0,0,0
hosed,0,0,0,0,1,1,0,0,0
hospital,0,0,0,1,0,1,0,0,1
hostile,0,0,0,0,1,0,0,0,0
hot,1,3,0,1,2,5,1,0,0
hotel,1,0,0,0,0,1,2,0,0
hotlines,0,1,0,0,0,0,0,0,0
hotter,0,0,0,0,1,0,0,0,0
hottest,0,0,0,0,0,1,1,0,0
hour,0,2,2,3,2,0,1,1,0
house,1,2,0,1,0,4,5,3,0
housekeeping,0,0,0,0,1,0,0,0,0
houston,0,1,0,1,0,0,0,0,0
hov,0,1,0,1,0,1,2,0,0
hova,0,0,0,2,0,0,0,0,0
hovito,0,1,0,0,0,0,0,0,0
hovs,0,0,0,0,0,1,0,0,0
howd,0,1,0,1,1,0,0,0,0
hows,0,0,0,0,0,1,0,0,0
hpnotiq,0,0,0,1,0,0,0,0,0
htotheizzos,0,0,0,0,0,1,0,0,0
hudson,1,0,0,0,0,0,0,1,0
hug,0,0,0,0,1,0,0,0,0
huge,0,0,0,0,0,1,0,0,0
hugo,0,1,0,0,0,0,0,0,0
huh,0,1,0,1,7,1,4,0,2
human,0,1,0,0,0,0,0,0,0
humble,0,0,0,0,1,0,0,0,0
humbled,0,0,0,0,0,0,1,0,0
humming,0,0,0,0,0,0,1,0,0
humor,0,0,0,0,1,0,0,0,0
hungover,0,0,0,0,0,0,0,1,0
hungry,0,0,0,0,0,1,0,0,0
hurr,0,0,0,0,0,1,0,0,0
hurry,0,1,0,0,0,1,1,1,1
hurt,0,1,0,5,1,0,3,0,2
hurtin,0,0,0,1,0,0,0,0,0
hurting,0,1,0,0,0,0,0,0,0
husband,0,1,0,0,0,0,1,0,0
hustle,0,0,0,2,0,3,0,0,0
hustler,0,1,0,1,0,3,0,0,0
hustlin,0,0,0,0,0,0,1,0,0
hw,0,0,0,1,0,0,0,0,0
hydraulics,0,0,0,0,0,1,0,0,0
hymn,0,0,0,0,0,1,0,0,0
hype,0,0,0,1,1,0,0,0,0
hypefilled,0,0,0,0,0,1,0,0,0
hypeman,0,0,0,1,0,0,0,0,0
hypocrisy,0,0,0,0,1,0,0,0,0
hypocrite,0,0,2,0,0,0,0,0,0
hypothetically,0,0,0,1,0,0,0,0,0
hyundai,0,0,0,1,0,0,0,0,0
ibn,0,0,0,0,0,0,0,1,0
ice,0,1,0,2,2,1,0,0,1
iceberg,0,1,0,0,0,0,0,0,0
icecold,0,0,0,0,1,0,0,0,0
iced,0,0,0,0,0,1,0,0,0
ichabod,0,0,0,0,1,0,0,0,0
ida,0,0,0,1,0,0,0,0,0
idea,0,1,0,2,0,1,1,0,0
idiot,0,0,0,0,0,0,1,0,0
idol,0,1,2,0,0,0,0,0,0
ign,0,0,2,0,0,0,2,0,3
ignorance,0,0,0,0,1,0,0,0,0
ii,0,0,0,0,0,0,1,0,0
iii,0,0,0,0,0,0,1,0,0
iiii,0,0,0,0,2,0,0,0,0
ike,0,0,0,1,0,0,0,0,0
ikea,0,0,0,0,0,1,0,0,0
ill,0,5,2,6,4,11,1,3,2
illegally,0,0,0,0,0,0,1,0,0
illegitimate,0,0,0,0,1,0,0,0,0
illiterate,0,0,0,0,0,1,0,0,0
illmatic,0,0,0,1,0,0,0,0,0
illuminates,0,0,0,1,0,0,0,0,0
illusion,0,0,0,0,1,0,0,0,0
ima,0,3,2,5,6,6,8,1,4
image,0,0,0,0,0,2,0,0,0
imagine,0,0,0,2,1,1,0,0,1
imagined,0,1,0,0,0,0,0,0,0
imitated,0,0,0,0,0,1,0,0,0
imma,0,3,0,1,0,0,0,0,0
immaculate,0,0,0,1,1,0,0,0,0
immature,0,0,0,0,1,0,0,0,0
importantly,0,0,0,0,0,1,0,0,0
impose,0,0,0,1,0,0,0,0,0
impossible,0,0,0,1,0,0,0,0,0
imposter,0,0,0,1,0,0,0,0,0
impregnate,0,0,0,0,0,0,2,0,0
impressed,0,1,0,0,0,0,0,0,0
improve,0,0,0,0,0,0,0,1,0
incident,0,0,0,0,0,0,0,0,1
incidental,0,0,0,0,0,0,0,0,1
including,0,0,0,1,0,0,0,0,0
income,0,0,0,0,0,1,0,0,1
inconsiderate,0,0,0,0,0,1,0,0,0
incredibly,0,0,0,1,0,0,0,0,0
independent,0,1,0,0,0,0,0,0,0
india,0,1,0,0,0,0,0,0,0
indian,0,0,0,2,0,0,0,1,0
indiana,0,0,0,0,0,0,0,1,0
individual,0,0,0,0,0,1,0,0,0
indoctrinate,0,0,2,0,0,0,0,0,0
industry,0,0,0,0,0,1,0,0,0
infectious,0,0,0,0,0,1,0,0,0
infested,0,0,0,1,0,0,0,0,0
infinity,0,0,0,0,0,0,0,0,1
influential,0,0,0,0,0,0,1,0,0
infra,0,0,0,0,0,1,0,0,0
infrastructure,0,0,0,0,0,0,1,0,0
inglés,0,0,0,1,0,0,0,0,0
innercity,0,0,0,0,1,0,0,0,0
insane,0,1,0,0,1,0,0,0,0
insect,0,1,0,0,0,1,0,0,0
insecure,0,0,0,0,1,0,0,0,0
insecurr,0,0,0,0,0,1,0,0,0
inside,0,0,2,0,1,2,2,0,1
insinuates,0,0,0,1,0,0,0,0,0
insisted,0,0,0,0,1,0,0,0,0
inspiration,0,0,0,2,0,1,0,0,0
inspired,0,1,0,0,0,0,1,0,0
instagram,0,0,0,0,0,0,2,1,0
instigated,0,0,0,0,0,0,1,0,0
instinct,0,0,0,1,0,0,0,0,0
institute,0,1,0,0,0,0,0,0,0
instruction,0,0,0,0,0,1,0,0,0
instrument,0,0,0,0,0,1,0,0,0
insult,0,0,0,1,0,1,0,0,0
insulted,0,1,0,0,0,0,0,0,0
insured,0,0,0,1,0,0,0,0,0
intact,0,0,0,1,0,0,0,0,0
intent,0,0,0,0,0,0,1,0,0
intercentury,0,0,0,0,1,0,0,0,0
interested,0,0,0,0,0,1,0,0,0
interlude,0,0,0,0,3,3,2,2,0
intern,0,0,0,1,0,0,0,0,0
international,0,0,0,1,0,0,0,0,0
internet,0,0,0,0,0,1,0,0,0
interview,0,1,0,0,0,1,0,0,0
intimacy,0,0,0,0,1,0,0,0,0
intoxicated,0,1,0,0,0,0,0,0,0
intuition,0,1,0,0,0,0,0,0,0
invented,0,0,0,0,0,0,1,0,0
invested,0,0,0,1,0,0,0,0,0
investment,0,0,0,0,0,1,0,0,0
invincible,0,1,0,0,0,0,0,0,0
invisible,0,1,0,0,0,0,1,0,0
invisibly,0,0,0,0,1,0,0,0,0
invited,0,0,0,0,1,1,1,0,0
involved,0,0,0,1,0,0,0,0,0
iphone,0,0,0,0,0,0,1,1,0
ipod,0,0,0,0,1,0,0,0,0
iron,0,0,0,0,1,0,0,0,0
irs,0,0,2,1,0,0,0,0,0
ise,0,0,0,0,0,1,0,0,0
islam,0,0,0,0,0,0,1,0,0
island,0,0,0,0,0,0,1,0,0
isley,0,0,0,0,0,1,0,0,0
isleys,0,0,0,0,0,1,0,0,0
isotoners,0,1,0,0,0,0,0,0,0
issue,0,1,0,0,0,1,1,0,0
italian,0,1,0,0,0,0,0,0,0
itll,0,2,0,1,2,1,1,0,0
itthat,0,1,0,0,0,0,0,0,0
ive,2,3,4,5,3,5,6,1,2
ivy,0,0,0,0,0,1,0,0,0
izzo,0,0,0,0,0,1,0,0,0
ja,0,1,0,0,0,0,0,0,0
jack,0,1,0,0,0,2,0,0,0
jacket,0,0,0,1,0,0,1,0,0
jackie,0,0,0,0,0,1,0,0,0
jackson,0,0,0,2,2,2,1,0,0
jacksonville,0,0,0,0,1,0,0,0,0
jacob,0,0,0,2,0,4,0,0,0
jag,0,0,0,2,1,0,0,0,0
jail,1,0,0,1,3,3,0,0,0
jake,0,0,0,0,1,0,0,0,0
jam,0,1,0,0,0,0,0,0,0
jamaican,0,0,0,0,1,1,0,2,0
james,0,0,0,1,1,0,1,0,0
jamie,0,0,0,1,0,1,0,0,0
jammin,0,0,0,0,0,1,1,0,0
jamming,0,0,0,1,0,0,0,0,0
jaw,0,0,0,0,2,1,1,0,0
jay,0,1,0,3,1,4,3,0,0
jayz,0,1,0,1,1,2,0,1,0
jealous,0,0,0,0,0,0,1,1,0
jean,0,2,0,2,0,1,0,2,0
jeezy,1,3,0,0,0,0,0,0,0
jeff,2,0,0,0,4,1,0,0,0
jefferson,0,0,0,0,0,0,0,0,1
jenner,0,0,0,0,0,0,1,0,0
jennifer,0,0,0,2,0,0,0,0,0
jeopardize,0,0,0,0,0,0,1,0,0
jeremih,0,0,0,0,0,0,0,0,1
jerk,0,0,0,0,2,1,1,0,0
jerkoffs,0,0,0,0,1,0,0,0,0
jerome,0,0,0,0,1,0,0,1,0
jeromey,0,0,0,0,0,0,0,1,0
jersey,0,0,0,0,0,1,0,0,0
jesse,0,0,0,1,0,0,0,0,0
jessica,0,0,0,0,0,1,0,0,0
jesus,0,3,12,4,2,3,2,2,0
jet,0,1,0,0,1,0,2,0,0
jetson,0,0,0,0,0,0,0,0,1
jew,0,0,0,0,0,0,1,0,0
jewelry,0,1,0,1,0,1,1,0,0
jezebel,0,0,2,0,0,0,0,0,0
jigga,0,2,0,0,0,2,0,0,0
jill,0,0,0,0,0,1,0,0,0
jimmy,0,0,0,0,1,1,1,0,0
jive,0,0,2,0,0,0,0,0,0
jizzle,0,1,0,0,0,0,0,0,0
job,0,0,2,4,1,4,4,0,0
jodeci,0,0,0,0,0,1,0,0,0
jody,0,0,0,0,1,0,0,0,0
jodye,0,0,0,0,0,0,1,0,0
joe,0,0,0,0,0,1,0,1,0
joey,0,0,0,0,0,0,1,0,0
jogging,0,1,0,0,0,0,0,0,0
john,0,2,2,0,2,4,0,0,0
johnnie,0,0,0,1,0,0,0,0,0
johnny,0,0,0,0,0,0,1,0,0
johnson,0,0,0,1,0,2,0,0,0
joint,0,0,0,0,1,0,2,0,0
joke,1,1,0,0,3,2,0,0,1
joking,1,0,2,0,0,0,0,0,0
jon,0,0,0,10,0,0,0,0,0
jones,0,0,0,0,0,1,0,0,0
jordan,0,0,0,0,1,3,1,0,0
joseph,0,0,0,0,0,0,1,1,0
josé,0,1,0,0,0,0,0,1,0
jotted,0,0,0,1,0,0,0,0,0
joy,0,0,0,0,0,1,2,0,0
joyner,0,0,0,0,0,1,0,0,0
jr,0,0,0,0,0,0,1,0,0
juda,0,0,2,0,0,0,0,0,0
jude,0,0,0,0,0,1,0,0,0
judge,0,0,6,1,0,0,1,1,0
judgment,0,0,0,0,0,1,0,0,0
juice,0,0,2,0,0,0,0,0,0
juicy,0,0,0,0,0,0,0,0,1
juke,0,0,0,0,0,1,0,0,0
juking,0,0,0,0,0,1,0,0,0
july,0,0,0,0,0,0,0,1,0
jumbotron,0,0,0,0,1,0,0,0,0
jump,0,1,0,0,0,0,0,1,0
jumped,0,0,0,0,0,0,1,0,0
jumpin,0,0,0,0,0,1,0,0,0
jumping,0,0,0,0,1,0,0,0,0
jumpman,0,0,0,0,0,0,1,0,0
jumpshot,0,0,0,0,1,0,0,0,0
june,2,0,0,0,1,0,0,0,0
jungle,0,0,0,1,1,0,0,0,0
junie,0,0,0,0,0,0,1,0,0
junior,0,0,0,1,0,0,0,0,0
justice,0,0,0,0,1,0,0,0,0
justin,0,0,0,0,3,0,0,3,0
jános,0,0,0,0,0,0,0,1,0
kan,0,1,0,0,1,1,0,0,0
kansa,0,0,0,0,0,1,0,0,0
kanye,8,15,12,19,12,15,16,10,6
kanyeez,0,0,0,1,0,0,0,0,0
kanyes,0,0,0,1,0,1,2,0,0
kappa,0,0,0,0,0,1,0,0,0
karate,0,0,0,0,0,0,0,0,1
kardashian,0,0,0,0,0,0,1,0,0
karma,0,0,0,2,0,0,0,0,1
karriem,0,0,0,0,0,0,1,0,0
kat,0,0,0,0,1,0,0,0,0
kate,0,1,0,0,0,0,0,0,0
kathie,0,0,0,0,0,1,0,0,0
katrina,0,1,0,0,0,0,0,0,0
kay,0,0,0,0,1,0,0,0,0
kayne,0,0,0,1,0,0,0,0,0
keef,0,0,2,0,0,0,0,1,0
keepin,0,1,2,0,0,0,0,0,0
keeping,1,0,0,0,0,0,0,0,0
keith,0,0,0,0,0,1,0,0,0
kel,0,0,0,1,0,0,0,0,0
kelly,0,0,0,0,2,0,3,0,0
kenas,0,0,0,0,1,0,0,0,0
kendrick,0,0,0,0,0,0,1,0,0
kenny,0,0,2,0,0,0,0,0,0
kerry,0,0,0,0,0,0,0,0,1
key,0,2,0,4,1,3,0,2,0
